p1,p2,dg,tm,type,pool
cluster_1_amp1_LEFT,cluster_1285_amp1_LEFT,-11.341649747065182,37.37393551576628,heterodimer,all
cluster_1_amp1_LEFT,cluster_2992_amp1_RIGHT,-25.15865449412106,60.963657470211444,heterodimer,all
cluster_1_amp1_RIGHT,cluster_52_amp1_LEFT,-9.05483983137575,28.414549754769553,heterodimer,all
cluster_2_amp1_LEFT,cluster_2510_amp1_LEFT,-10.824733704908372,36.081338901322056,heterodimer,all
cluster_2_amp1_LEFT,cluster_2993_amp1_RIGHT,-14.250995975983663,45.304175287278895,heterodimer,all
cluster_2_amp1_RIGHT,cluster_1941_amp1_LEFT,-11.701288518140515,38.5751656358986,heterodimer,all
cluster_2_amp1_RIGHT,cluster_2237_amp1_LEFT,-12.367774747062096,40.49805694403631,heterodimer,all
cluster_4_amp1_LEFT,cluster_1145_amp1_LEFT,-9.769684831375757,30.95956231828484,heterodimer,all
cluster_4_amp1_LEFT,cluster_1918_amp1_RIGHT,-9.20132860245728,28.748539627207265,heterodimer,all
cluster_4_amp1_LEFT,cluster_2614_amp1_LEFT,-9.016738602454177,27.631669431635544,heterodimer,all
cluster_4_amp1_LEFT,cluster_2745_amp1_LEFT,-9.588918602457262,30.033749759737077,heterodimer,all
cluster_4_amp1_LEFT,cluster_2801_amp1_RIGHT,-9.65377360245728,30.697421846758516,heterodimer,all
cluster_4_amp1_LEFT,cluster_2903_amp1_LEFT,-9.016738602454177,27.631669431635544,heterodimer,all
cluster_4_amp1_LEFT,cluster_3217_amp1_LEFT,-9.769684831375757,30.95956231828484,heterodimer,all
cluster_4_amp1_LEFT,cluster_3269_amp1_RIGHT,-9.65377360245728,30.697421846758516,heterodimer,all
cluster_4_amp1_RIGHT,cluster_260_amp1_LEFT,-12.074824891669996,39.03964376497146,heterodimer,all
cluster_4_amp1_RIGHT,cluster_689_amp1_LEFT,-10.306982289218912,33.82290987229345,heterodimer,all
cluster_4_amp1_RIGHT,cluster_898_amp1_RIGHT,-10.133602475983658,33.90631590701162,heterodimer,all
cluster_4_amp1_RIGHT,cluster_959_amp1_RIGHT,-9.640691060300451,31.447447671429018,heterodimer,all
cluster_4_amp1_RIGHT,cluster_2398_amp1_LEFT,-10.306982289218912,33.82290987229345,heterodimer,all
cluster_4_amp1_RIGHT,cluster_2688_amp1_RIGHT,-10.003047289222028,33.19764481333982,heterodimer,all
cluster_4_amp1_RIGHT,cluster_3145_amp1_RIGHT,-10.003047289222028,33.19764481333982,heterodimer,all
