serotype,locus_length,num_amplicons,covered_bases,coverage_percent
01,17338,85,9186,52.9818894912908
02,17501,126,9712,55.49397177304154
03,4586,5,2679,58.41692106410815
04,16368,51,7711,47.11021505376344
05,16355,33,6808,41.626413940690924
06A,14796,134,10510,71.03271154366045
06B,15935,133,10565,66.30059617194854
06C,16027,134,11447,71.42322331066325
06D,14604,125,10058,68.87154204327581
07A,20469,80,10397,50.79388343348478
07B,19546,92,11026,56.4105187762202
07C,18402,76,10280,55.86349309857624
07F,20450,80,10397,50.84107579462103
08,12068,84,5003,41.45674511103745
09A,17308,96,7659,44.25121331176335
09L,15542,56,6985,44.94273581263673
09N,15543,55,6795,43.71742906774754
09V,17309,96,7659,44.24865676815529
10A,14102,32,8720,61.8352006807545
10B,14093,30,8720,61.87468956219399
10C,15224,59,8253,54.210457172884915
10F,15231,60,8254,54.19210820038081
11A,14798,74,7241,48.9322881470469
11B,13401,58,5418,40.429818670248494
11C,13384,57,4845,36.19994022713688
11D,14798,74,7241,48.9322881470469
11F,14857,92,8205,55.22649256242849
12A,19954,85,10584,53.04199659216198
12B,19072,80,9985,52.35423657718121
12F,19081,80,9387,49.19553482521881
13,15817,49,5463,34.53878738066637
14,12876,54,5437,42.22584653619136
15A,16472,105,9458,57.418649830014566
15B,16577,53,8335,50.28050913916873
15C,16579,53,8335,50.27444357319501
15F,20640,115,11881,57.562984496124024
16A,20253,97,9065,44.75880116525946
16F,18420,85,8822,47.89359391965255
17A,21503,119,10289,47.84913732967493
17F,21077,127,12649,60.013284623048825
18A,18984,87,10414,54.856721449641796
18B,20252,96,10631,52.493580880900645
18C,20252,96,10631,52.493580880900645
18F,21009,98,11761,55.980770146127846
19A,14949,78,10643,71.19539768546392
19B,18863,91,11090,58.79234480199332
19C,22064,77,11291,51.1738578680203
19F,14820,86,9265,62.51686909581646
21,19663,109,10563,53.720185119259526
22A,20775,119,10015,48.206979542719615
22F,20719,125,11503,55.51908875910999
23A,18768,87,11277,60.08631713554987
23B,19651,102,12384,63.01969365426696
23F,18651,146,12135,65.06353546726717
24A,19616,103,12632,64.39641109298532
24B,20790,100,14022,67.44588744588744
24F,20792,115,14078,67.70873412851095
25A,17226,15,6086,35.330314640659466
25F,17226,15,6086,35.330314640659466
27,17431,127,10272,58.92949343124319
28A,19948,122,11756,58.93322638861038
28F,19963,123,11771,58.964083554575964
29,12164,31,4038,33.19631700098652
31,20043,111,13112,65.41934840093798
32A,16973,116,9768,57.55022683084899
32F,17968,124,10858,60.429652715939454
33A,15634,98,8345,53.37725470129205
33B,15694,96,7760,49.445648018350965
33C,14308,67,5403,37.762091137824996
33D,15662,95,7135,45.55612310049802
33F,14496,97,8233,56.79497792494481
34,13974,101,9391,67.20337770144555
35A,17652,100,8934,50.61182868796736
35B,14755,98,8831,59.85089800067773
35C,17649,99,8692,49.249249249249246
35F,12625,37,5777,45.75841584158416
36A,19113,72,7806,40.84131219588761
37,1530,2,1078,70.45751633986929
38,14694,10,3740,25.452565673063837
39,15862,32,4520,28.495776068591606
40,19539,92,11019,56.39490250268694
41A,19176,131,11898,62.04630788485607
41F,20437,127,12373,60.54215393648774
42,17649,101,8692,49.249249249249246
43,17768,33,4422,24.887438090950024
44,19079,80,9387,49.20069186016038
45,24088,92,11838,49.14480239123215
46,19954,85,10584,53.04199659216198
47A,15152,81,6403,42.258447729672646
47F,13963,39,6974,49.94628661462436
48,18646,88,9771,52.40266008795452
06E,15134,67,8047,53.17166644641205
23B1,21797,66,9550,43.81336881222187
19AF,14019,72,9404,67.08039089806691
11E,14880,98,7697,51.7271505376344
33G,16805,104,9645,57.39363284736686
10D,15249,90,5602,36.73683520230835
06F,18756,137,12073,64.36873533802516
06G,18783,136,11428,60.84225097162328
NCC2_S_mitis_aliC_aliD_non_encapsulated,5927,11,4471,75.43445250548338
NCC2_aliC_aliD_non_encapsulated,6600,10,4191,63.5
35D,15129,98,8831,58.371339810959086
24C,23516,95,14738,62.67222316720531
20B,17586,49,7143,40.617536676902084
20A,18024,51,7530,41.777629826897474
11F_like,14871,98,7697,51.758456055409866
33E,18603,107,9781,52.57754125678654
36B,21895,65,7990,36.492349851564285
15D,20128,112,11266,55.97178060413355
24F2,20781,94,14475,69.65497329291179
19AI,15204,73,9398,61.812680873454354
19AII,15426,73,9541,61.85012316867626
19AIII,14949,78,10643,71.19539768546392
19FI,14819,86,9264,62.51433969903503
19FII,14819,93,9801,66.13806599635603
19FIII,14820,86,9265,62.51686909581646
19FIV,14819,87,9801,66.13806599635603
06BI,16357,135,11754,71.85914287461026
06BII,16190,140,11905,73.53304508956145
06AI,16186,134,10565,65.27245767947609
06AII,16217,139,11905,73.41061848677313
06AIII,16188,135,11754,72.60934025203855
06AIV,16531,140,11905,72.01621196539834
06AV,16191,139,11906,73.5346797603607
06AVI,16239,139,11935,73.49590492025371
20C,16761,53,6483,38.6790764274208
33H,19401,106,10226,52.70862326684191
NCC1_pspK_non_encapsulated,5064,6,2205,43.54265402843602
NCC3_aliD_non_encapsulated,5001,9,3497,69.9260147970406
streptococcus-pneumoniae-ctvdb,17340,85,9188,52.98731257208766
