serotype,primer_name,gene,start,end,size,mismatches
01,cluster_5_amp1,cluster_5,2535,3131,596,0
01,cluster_21_amp1,cluster_21,10531,11127,596,0
01,cluster_24_amp1,cluster_24,12044,12638,594,0
01,cluster_25_amp1,cluster_25,12538,13126,588,0
01,cluster_26_amp1,cluster_26,13066,13664,598,0
01,cluster_138_amp1,cluster_138,574,1152,578,1
01,cluster_160_amp1,cluster_160,14128,14692,564,1
01,cluster_163_amp1,cluster_163,15597,16194,597,1
01,cluster_177_amp1,cluster_177,574,1152,578,1
01,cluster_229_amp1,cluster_229,2054,2629,575,2
01,cluster_266_amp1,cluster_266,1073,1656,583,1
01,cluster_299_amp1,cluster_299,16512,17086,574,2
01,cluster_306_amp1,cluster_306,2055,2629,574,2
01,cluster_376_amp1,cluster_376,1072,1656,584,0
01,cluster_432_amp1,cluster_432,1072,1656,584,0
01,cluster_434_amp1,cluster_434,2060,2629,569,1
01,cluster_462_amp1,cluster_462,1072,1656,584,0
01,cluster_741_amp1,cluster_741,1072,1658,586,1
01,cluster_743_amp1,cluster_743,2060,2629,569,1
01,cluster_770_amp1,cluster_770,1072,1656,584,0
01,cluster_772_amp1,cluster_772,2060,2629,569,1
01,cluster_792_amp1,cluster_792,573,1152,579,0
01,cluster_826_amp1,cluster_826,2060,2629,569,1
01,cluster_906_amp1,cluster_906,14861,15460,599,1
01,cluster_914_amp1,cluster_914,1057,1656,599,0
01,cluster_917_amp1,cluster_917,2538,3131,593,3
01,cluster_942_amp1,cluster_942,13967,14543,576,1
01,cluster_1031_amp1,cluster_1031,573,1148,575,1
01,cluster_1102_amp1,cluster_1102,16289,16878,589,0
01,cluster_1214_amp1,cluster_1214,2055,2629,574,2
01,cluster_1229_amp1,cluster_1229,13999,14582,583,1
01,cluster_1241_amp1,cluster_1241,2060,2629,569,1
01,cluster_1264_amp1,cluster_1264,16085,16648,563,0
01,cluster_1297_amp1,cluster_1297,15807,16406,599,2
01,cluster_1374_amp1,cluster_1374,16695,17289,594,0
01,cluster_1408_amp1,cluster_1408,14128,14704,576,1
01,cluster_1446_amp1,cluster_1446,15224,15823,599,0
01,cluster_1478_amp1,cluster_1478,530,1114,584,3
01,cluster_1482_amp1,cluster_1482,2527,3122,595,3
01,cluster_1517_amp1,cluster_1517,1051,1616,565,1
01,cluster_1561_amp1,cluster_1561,14097,14685,588,0
01,cluster_1630_amp1,cluster_1630,15439,16035,596,1
01,cluster_1667_amp1,cluster_1667,15439,16034,595,1
01,cluster_1668_amp1,cluster_1668,15942,16537,595,0
01,cluster_1706_amp1,cluster_1706,1062,1656,594,0
01,cluster_1745_amp1,cluster_1745,1035,1616,581,0
01,cluster_1992_amp1,cluster_1992,2060,2629,569,1
01,cluster_2016_amp1,cluster_2016,239,830,591,3
01,cluster_2017_amp1,cluster_2017,738,1332,594,1
01,cluster_2081_amp1,cluster_2081,1072,1656,584,0
01,cluster_2179_amp1,cluster_2179,14220,14820,600,1
01,cluster_2183_amp1,cluster_2183,16224,16808,584,1
01,cluster_2186_amp1,cluster_2186,1035,1616,581,0
01,cluster_2283_amp1,cluster_2283,1035,1616,581,0
01,cluster_2436_amp1,cluster_2436,2060,2629,569,1
01,cluster_2519_amp1,cluster_2519,15249,15832,583,2
01,cluster_2593_amp1,cluster_2593,1035,1616,581,0
01,cluster_2718_amp1,cluster_2718,405,989,584,1
01,cluster_2732_amp1,cluster_2732,14445,15022,577,2
01,cluster_2734_amp1,cluster_2734,15446,16035,589,0
01,cluster_2797_amp1,cluster_2797,856,1435,579,0
01,cluster_2844_amp1,cluster_2844,2696,3288,592,1
01,cluster_2873_amp1,cluster_2873,1817,2407,590,0
01,cluster_2874_amp1,cluster_2874,2286,2872,586,1
01,cluster_2950_amp1,cluster_2950,372,955,583,2
01,cluster_2955_amp1,cluster_2955,2876,3451,575,3
01,cluster_3103_amp1,cluster_3103,2060,2629,569,1
01,cluster_3122_amp1,cluster_3122,14097,14685,588,0
01,cluster_3134_amp1,cluster_3134,1073,1656,583,1
01,cluster_3140_amp1,cluster_3140,875,1473,598,1
01,cluster_3164_amp1,cluster_3164,15455,16052,597,2
01,cluster_3192_amp1,cluster_3192,14097,14685,588,0
01,cluster_3195_amp1,cluster_3195,15597,16194,597,1
01,cluster_3210_amp1,cluster_3210,14128,14704,576,0
01,cluster_3213_amp1,cluster_3213,15622,16194,572,1
01,cluster_3215_amp1,cluster_3215,16641,17196,555,0
01,cluster_3237_amp1,cluster_3237,574,1152,578,1
01,cluster_3241_amp1,cluster_3241,14128,14692,564,1
01,cluster_3244_amp1,cluster_3244,573,1152,579,0
01,cluster_3264_amp1,cluster_3264,328,905,577,0
01,cluster_3355_amp1,cluster_3355,2535,3123,588,0
01,cluster_3363_amp1,cluster_3363,6529,7124,595,0
01,cluster_3371_amp1,cluster_3371,10531,11127,596,0
01,cluster_3374_amp1,cluster_3374,12044,12638,594,0
01,cluster_3375_amp1,cluster_3375,12538,13126,588,0
02,cluster_39_amp1,cluster_39,3038,3638,600,0
02,cluster_40_amp1,cluster_40,3540,4139,599,0
02,cluster_43_amp1,cluster_43,5042,5636,594,0
02,cluster_45_amp1,cluster_45,6050,6641,591,0
02,cluster_51_amp1,cluster_51,9055,9653,598,0
02,cluster_140_amp1,cluster_140,1558,2134,576,0
02,cluster_141_amp1,cluster_141,2058,2645,587,1
02,cluster_145_amp1,cluster_145,4071,4629,558,0
02,cluster_163_amp1,cluster_163,15760,16357,597,0
02,cluster_179_amp1,cluster_179,1558,2134,576,0
02,cluster_180_amp1,cluster_180,2058,2645,587,1
02,cluster_184_amp1,cluster_184,4071,4629,558,0
02,cluster_207_amp1,cluster_207,2058,2645,587,1
02,cluster_257_amp1,cluster_257,14317,14908,591,2
02,cluster_266_amp1,cluster_266,1082,1665,583,1
02,cluster_299_amp1,cluster_299,16675,17249,574,0
02,cluster_376_amp1,cluster_376,1081,1665,584,0
02,cluster_377_amp1,cluster_377,1558,2134,576,0
02,cluster_379_amp1,cluster_379,2574,3172,598,0
02,cluster_401_amp1,cluster_401,2058,2645,587,1
02,cluster_403_amp1,cluster_403,3045,3635,590,2
02,cluster_432_amp1,cluster_432,1081,1665,584,0
02,cluster_462_amp1,cluster_462,1081,1665,584,0
02,cluster_576_amp1,cluster_576,2575,3158,583,3
02,cluster_579_amp1,cluster_579,4075,4668,593,4
02,cluster_602_amp1,cluster_602,1558,2134,576,0
02,cluster_603_amp1,cluster_603,2083,2676,593,1
02,cluster_634_amp1,cluster_634,1558,2134,576,0
02,cluster_636_amp1,cluster_636,2556,3125,569,0
02,cluster_661_amp1,cluster_661,2556,3125,569,0
02,cluster_697_amp1,cluster_697,1558,2134,576,0
02,cluster_741_amp1,cluster_741,1081,1667,586,1
02,cluster_770_amp1,cluster_770,1081,1665,584,0
02,cluster_794_amp1,cluster_794,1558,2134,576,0
02,cluster_799_amp1,cluster_799,4071,4629,558,0
02,cluster_876_amp1,cluster_876,1558,2134,576,0
02,cluster_906_amp1,cluster_906,15024,15623,599,2
02,cluster_914_amp1,cluster_914,1066,1665,599,1
02,cluster_950_amp1,cluster_950,1558,2134,576,0
02,cluster_955_amp1,cluster_955,4067,4629,562,1
02,cluster_1031_amp1,cluster_1031,582,1157,575,3
02,cluster_1102_amp1,cluster_1102,16452,17041,589,0
02,cluster_1149_amp1,cluster_1149,1558,2134,576,0
02,cluster_1264_amp1,cluster_1264,16248,16811,563,0
02,cluster_1275_amp1,cluster_1275,5042,5636,594,0
02,cluster_1297_amp1,cluster_1297,15970,16569,599,2
02,cluster_1306_amp1,cluster_1306,1559,2134,575,1
02,cluster_1307_amp1,cluster_1307,2058,2645,587,1
02,cluster_1312_amp1,cluster_1312,4530,5123,593,1
