================================================================================
CPS LOCUS COVERAGE SUMMARY
================================================================================

Total serotypes: 130
Average coverage: 54.6%
Min coverage: 24.9%
Max coverage: 75.4%

Coverage distribution:
    0- 25%:   1 serotypes
   25- 50%:  41 serotypes
   50- 75%:  87 serotypes
   75- 90%:   1 serotypes
   90-100%:   0 serotypes

================================================================================
PER-SEROTYPE DETAILS
================================================================================

NCC2_S_mitis_aliC_aliD_non_encapsulated |  5,927 bp |  11 amplicons |   75.4% covered
06AV                 | 16,191 bp | 139 amplicons |   73.5% covered
06BII                | 16,190 bp | 140 amplicons |   73.5% covered
06AVI                | 16,239 bp | 139 amplicons |   73.5% covered
06AII                | 16,217 bp | 139 amplicons |   73.4% covered
06AIII               | 16,188 bp | 135 amplicons |   72.6% covered
06AIV                | 16,531 bp | 140 amplicons |   72.0% covered
06BI                 | 16,357 bp | 135 amplicons |   71.9% covered
06C                  | 16,027 bp | 134 amplicons |   71.4% covered
19A                  | 14,949 bp |  78 amplicons |   71.2% covered
19AIII               | 14,949 bp |  78 amplicons |   71.2% covered
06A                  | 14,796 bp | 134 amplicons |   71.0% covered
37                   |  1,530 bp |   2 amplicons |   70.5% covered
NCC3_aliD_non_encapsulated |  5,001 bp |   9 amplicons |   69.9% covered
24F2                 | 20,781 bp |  94 amplicons |   69.7% covered
06D                  | 14,604 bp | 125 amplicons |   68.9% covered
24F                  | 20,792 bp | 115 amplicons |   67.7% covered
24B                  | 20,790 bp | 100 amplicons |   67.4% covered
34                   | 13,974 bp | 101 amplicons |   67.2% covered
19AF                 | 14,019 bp |  72 amplicons |   67.1% covered
06B                  | 15,935 bp | 133 amplicons |   66.3% covered
19FIV                | 14,819 bp |  87 amplicons |   66.1% covered
19FII                | 14,819 bp |  93 amplicons |   66.1% covered
31                   | 20,043 bp | 111 amplicons |   65.4% covered
06AI                 | 16,186 bp | 134 amplicons |   65.3% covered
23F                  | 18,651 bp | 146 amplicons |   65.1% covered
24A                  | 19,616 bp | 103 amplicons |   64.4% covered
06F                  | 18,756 bp | 137 amplicons |   64.4% covered
NCC2_aliC_aliD_non_encapsulated |  6,600 bp |  10 amplicons |   63.5% covered
23B                  | 19,651 bp | 102 amplicons |   63.0% covered
24C                  | 23,516 bp |  95 amplicons |   62.7% covered
19F                  | 14,820 bp |  86 amplicons |   62.5% covered
19FIII               | 14,820 bp |  86 amplicons |   62.5% covered
19FI                 | 14,819 bp |  86 amplicons |   62.5% covered
41A                  | 19,176 bp | 131 amplicons |   62.0% covered
10B                  | 14,093 bp |  30 amplicons |   61.9% covered
19AII                | 15,426 bp |  73 amplicons |   61.9% covered
10A                  | 14,102 bp |  32 amplicons |   61.8% covered
19AI                 | 15,204 bp |  73 amplicons |   61.8% covered
06G                  | 18,783 bp | 136 amplicons |   60.8% covered
41F                  | 20,437 bp | 127 amplicons |   60.5% covered
32F                  | 17,968 bp | 124 amplicons |   60.4% covered
23A                  | 18,768 bp |  87 amplicons |   60.1% covered
17F                  | 21,077 bp | 127 amplicons |   60.0% covered
35B                  | 14,755 bp |  98 amplicons |   59.9% covered
